[20.10.2024 | 19:23:33] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:33] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:33] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:33] [  ERROR  ][Physics Engine] EVENT 1!
[20.10.2024 | 19:23:33] [ WARNING ][Physics Engine] EVENT 2!
[20.10.2024 | 19:23:40] [  INFO   ][UNDEFINED] Resizing game window...
[20.10.2024 | 19:23:53] [  INFO   ][UNDEFINED] Exiting...
[20.10.2024 | 19:23:54] [  INFO   ][UNDEFINED] Ending Scene state...



[20.10.2024 | 19:25:37] [ INFO    ][UNDEFINED] Launching "DronsEngine Game"...
[20.10.2024 | 19:25:38] [ INFO    ][UNDEFINED] Initialization...
[20.10.2024 | 19:25:39] [ INFO    ][UNDEFINED] Starting Scene state...
[20.10.2024 | 19:25:39] [ INFO    ][UNDEFINED] Start game loop...
[20.10.2024 | 19:25:42] [ ERROR   ][Physics Engine] EVENT 1!
[20.10.2024 | 19:25:42] [ ERROR   ][Physics Engine] EVENT 1!
[20.10.2024 | 19:25:42] [ ERROR   ][Physics Engine] EVENT 1!
[20.10.2024 | 19:25:42] [ ERROR   ][Physics Engine] EVENT 1!
[20.10.2024 | 19:25:42] [ ERROR   ][Physics Engine] EVENT 1!
[20.10.2024 | 19:25:42] [ ERROR   ][Physics Engine] EVENT 1!
